word1,word2,num_paths,word_count_wiwj,degree_wiwj,degree_centrality_wiwj,closeness_centrality_wiwj,betweenness_wiwj,betweenness_centrality_wiwj,eigenvector_centrality_wiwj,clustering_coefficient_wiwj,preferential_attachment,shortest_path_length,word_count_i,degree_i,degree_centrality_i,closeness_centrality_i,betweenness_i,betweenness_centrality_i,eigenvector_centrality_i,clustering_coefficient_i,word_count_j,degree_j,degree_centrality_j,closeness_centrality_j,betweenness_j,betweenness_centrality_j,eigenvector_centrality_j,clustering_coefficient_j
人类,简笔画,575115,43,96,0.002550749,0.187561049,34710.34092,9.90378E-05,0.016120328,0.036290323,96,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333
人类,绘画材料,434683,43,64,0.0017005,0.18537162,0,0,0.013764615,0.108870968,64,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,1,2,0.010309278,0.377431907,0,0,0.050820225,1
人类,大自然,742099,172,160,0.004251249,0.184295963,112670.2125,0.000321478,0.021142886,0.054435484,160,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5
人类,纤维材料,417110,43,64,0.0017005,0.187192559,0,0,0.014937578,0.108870968,64,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,1,2,0.010309278,0.381139489,0,0,0.055150914,1
人类,文具店,616661,86,128,0.003400999,0.185011675,96555.05815,0.000275497,0.017653148,0.054435484,128,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5
人类,笔,581534,258,192,0.005101499,0.196861596,1033161.254,0.002947882,0.018199093,0.014516129,192,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
人类,学习用品,907144,1677,512,0.013603996,0.192486894,710329.3263,0.002026757,0.033161488,0.022731301,512,1,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209
动物,植物,1002018,2214,570,0.015145074,0.186811605,428598.5365,0.001222905,0.034514048,0.01133389,570,2,27,10,0.051546392,0.34954955,73.01084856,0.003899944,0.090724234,0.244444444,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,动物,1159918,2214,530,0.014082262,0.177519928,443677.8132,0.00126593,0.026082479,0.00709563,530,2,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,27,10,0.051546392,0.34954955,73.01084856,0.003899944,0.090724234,0.244444444
动物,暴雨,1070419,2214,460,0.01222234,0.176595345,275372.0983,0.000785709,0.030517462,0.01582394,460,2,27,10,0.051546392,0.34954955,73.01084856,0.003899944,0.090724234,0.244444444,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
